observer,real_thief,victim,time_testimony,time_crime,place_observer,place_theft,vision_perturb,observed_thief,memory_perturb,memorized_thief,veracity_perturb,testified_thief,run
7.0,"(1, 2, 0)",6.0,80.0,38.0,"(12, 21)","(13, 11)",False,"(1, 2, 0)",True,"(1, 2, 0)",True,"(2, 2, 0)",44
4.0,"(0, 2, 1)",3.0,80.0,42.0,"(12, 21)","(16, 14)",False,"(0, 2, 1)",True,"(0, 1, 1)",False,"(0, 1, 1)",44
8.0,"(1, 1, 2)",2.0,80.0,9.0,"(34, 41)","(29, 31)",False,"(1, 1, 2)",False,"(1, 1, 2)",False,"(1, 1, 2)",45
8.0,"(0, 0, 1)",5.0,80.0,9.0,"(34, 41)","(29, 31)",False,"(0, 0, 1)",False,"(0, 0, 1)",False,"(0, 0, 1)",45
3.0,"(2, 1, 2)",6.0,80.0,10.0,"(46, 19)","(21, 7)",False,"(2, 1, 2)",False,"(2, 1, 2)",False,"(2, 1, 2)",45
3.0,"(1, 0, 0)",1.0,80.0,10.0,"(46, 19)","(21, 7)",False,"(1, 0, 0)",True,"(1, 0, 0)",False,"(1, 0, 0)",45
8.0,"(0, 1, 2)",3.0,80.0,11.0,"(22, 15)","(13, 9)",False,"(0, 1, 2)",False,"(0, 1, 2)",True,"(0, 2, 2)",46
9.0,"(0, 1, 2)",2.0,80.0,22.0,"(22, 18)","(25, 20)",False,"(0, 1, 2)",True,"(0, 0, 2)",False,"(0, 0, 2)",46
9.0,"(0, 1, 2)",2.0,80.0,22.0,"(22, 18)","(25, 20)",False,"(0, 1, 2)",False,"(0, 1, 2)",False,"(0, 1, 2)",46
1.0,"(0, 1, 2)",8.0,80.0,29.0,"(38, 13)","(19, 15)",False,"(0, 1, 2)",True,"(2, 2, 2)",True,"(2, 2, 1)",46
5.0,"(0, 1, 2)",8.0,80.0,29.0,"(28, 10)","(19, 15)",False,"(0, 1, 2)",True,"(0, 1, 2)",True,"(0, 1, 1)",46
7.0,"(0, 1, 2)",8.0,80.0,29.0,"(14, 10)","(19, 15)",False,"(0, 1, 2)",False,"(0, 1, 2)",False,"(0, 1, 2)",46
0.0,"(2, 1, 2)",4.0,80.0,21.0,"(13, 28)","(29, 14)",False,"(2, 1, 2)",True,"(2, 2, 2)",True,"(1, 2, 1)",47
